EventID,Coincidence,HitTop,HitMiddle,HitBottom,Decay,DecayTime_ns
0,DOUBLE,1,1,0,False,-1
1,DOUBLE,1,1,0,False,-1
2,NONE,0,0,0,False,-1
3,NONE,0,0,0,False,-1
4,NONE,0,0,0,False,-1
5,NONE,0,0,0,False,-1
6,NONE,0,0,0,False,-1
7,DOUBLE,1,1,0,False,-1
8,NONE,0,0,0,False,-1
9,DOUBLE,1,1,0,False,-1
10,NONE,0,0,0,False,-1
11,SINGLE,0,0,1,False,-1
12,DOUBLE,1,1,0,False,-1
13,NONE,0,0,0,False,-1
14,NONE,0,0,0,False,-1
15,DOUBLE,1,1,0,False,-1
16,SINGLE,0,0,1,False,-1
17,NONE,0,0,0,False,-1
18,NONE,0,0,0,False,-1
19,NONE,0,0,0,False,-1
20,DOUBLE,1,1,0,False,-1
21,NONE,0,0,0,False,-1
22,NONE,0,0,0,False,-1
23,DOUBLE,1,1,0,False,-1
24,NONE,0,0,0,False,-1
25,NONE,0,0,0,False,-1
26,NONE,0,0,0,False,-1
27,NONE,0,0,0,False,-1
28,NONE,0,0,0,False,-1
29,DOUBLE,1,1,0,False,-1
30,NONE,0,0,0,False,-1
31,DOUBLE,1,1,0,False,-1
32,NONE,0,0,0,False,-1
33,SINGLE,0,0,1,False,-1
34,SINGLE,0,0,1,False,-1
35,NONE,0,0,0,False,-1
36,NONE,0,0,0,False,-1
37,NONE,0,0,0,False,-1
38,SINGLE,0,1,0,False,-1
39,NONE,0,0,0,False,-1
40,DOUBLE,1,1,0,False,-1
41,NONE,0,0,0,False,-1
42,NONE,0,0,0,False,-1
43,NONE,0,0,0,False,-1
44,NONE,0,0,0,False,-1
45,DOUBLE,1,1,0,False,-1
46,NONE,0,0,0,False,-1
47,NONE,0,0,0,False,-1
48,NONE,0,0,0,False,-1
49,DOUBLE,1,1,0,False,-1
50,DOUBLE,1,1,0,False,-1
51,NONE,0,0,0,False,-1
52,DOUBLE,1,1,0,False,-1
53,NONE,0,0,0,False,-1
54,DOUBLE,1,1,0,False,-1
55,NONE,0,0,0,False,-1
56,SINGLE,0,0,1,False,-1
57,SINGLE,0,0,1,False,-1
58,DOUBLE,1,1,0,False,-1
59,NONE,0,0,0,False,-1
60,NONE,0,0,0,False,-1
61,DOUBLE,1,1,0,False,-1
62,DOUBLE,1,1,0,False,-1
63,NONE,0,0,0,False,-1
64,DOUBLE,1,1,0,False,-1
65,NONE,0,0,0,False,-1
66,NONE,0,0,0,False,-1
67,NONE,0,0,0,False,-1
68,NONE,0,0,0,False,-1
69,SINGLE,1,0,0,False,-1
70,NONE,0,0,0,False,-1
71,NONE,0,0,0,False,-1
72,SINGLE,0,0,1,False,-1
73,NONE,0,0,0,False,-1
74,NONE,0,0,0,False,-1
75,NONE,0,0,0,False,-1
76,NONE,0,0,0,False,-1
77,NONE,0,0,0,False,-1
